Total time to read binary file: 2.107804s 

Total time to find solution with A_star: 9.438836s 

Node id:634581065 	 | Distance:48241.102878
Node id:796751037 	 | Distance:49119.069452
Node id:796751049 	 | Distance:49192.113561
Node id:46920419 	 | Distance:49672.950276
Node id:957147045 	 | Distance:49933.693705
Node id:957147044 	 | Distance:50052.612982
Node id:46920413 	 | Distance:50912.401529
Node id:367656942 	 | Distance:51702.314620
Node id:46920404 	 | Distance:52229.587176
Node id:1489169407 	 | Distance:52884.783360
Node id:1489169400 	 | Distance:53242.015940
Node id:46920389 	 | Distance:53468.394828
Node id:46920379 	 | Distance:54757.362652
Node id:1066621412 	 | Distance:55811.321778
Node id:46920376 	 | Distance:56090.692091
Node id:46920344 	 | Distance:57295.896552
Node id:540031213 	 | Distance:58308.979915
Node id:540031211 	 | Distance:58356.649478
Node id:46920333 	 | Distance:58697.696732
Node id:540031157 	 | Distance:59002.875608
Node id:540031155 	 | Distance:59033.022471
Node id:46920324 	 | Distance:59334.327926
Node id:46920312 	 | Distance:60028.047411
Node id:46920307 	 | Distance:60910.162306
Node id:46920293 	 | Distance:61914.854556
Node id:619499719 	 | Distance:62093.972339
Node id:892728793 	 | Distance:62434.211463
Node id:46920282 	 | Distance:62743.858520
Node id:619499715 	 | Distance:62900.255254
Node id:619499713 	 | Distance:63037.077954
Node id:619499710 	 | Distance:63371.726481
Node id:46920276 	 | Distance:63761.411511
Node id:46919904 	 | Distance:64709.690388
Node id:46919896 	 | Distance:65783.412516
Node id:46919508 	 | Distance:66663.019347
Node id:46919499 	 | Distance:67752.715484
Node id:795963086 	 | Distance:69073.049868
Node id:795962816 	 | Distance:69083.419007
Node id:46911473 	 | Distance:69230.373206
Node id:1066621668 	 | Distance:69451.831479
Node id:1066621666 	 | Distance:69602.131781
Node id:46911470 	 | Distance:69785.177673
Node id:46911466 	 | Distance:70563.763944
Node id:46911457 	 | Distance:71501.934560
Node id:46911448 	 | Distance:72645.222550
Node id:46911442 	 | Distance:73286.459994
Node id:271498120 	 | Distance:73654.298830
Node id:46911440 	 | Distance:73963.900892
Node id:46911436 	 | Distance:75223.870655
Node id:1308922868 	 | Distance:75643.207742
Node id:46911433 	 | Distance:75921.811163
Node id:1208534753 	 | Distance:76337.961548
Node id:1208534775 	 | Distance:76374.422230
Node id:46911424 	 | Distance:76501.013190
Node id:1208534862 	 | Distance:76603.139792
